original_name,vlink,releasedate,members,group_name
iKON - '죽겠다(KILLING ME)' DANCE PRACTICE VIDEO,W6_j0LqPIXk,2018-08-02,male,iKON
SF9 - 오솔레미오(O Sole Mio) 안무 연습 영상 (Dance Practice Video) Halloween Ver.,yDXdIT1TAqM,2017-10-31,male,SF9
[ETC] NU'EST(뉴이스트) - Love Paint (Every Afternoon) Dance Practice Eye Contact Ver.,egLrY_do-HA,2016-09-27,male,NU'EST
[ETC] NU'EST(뉴이스트) - Love Paint (Every Afternoon) Dance Practice Fix Ver.,BWTCJ2mBhNo,2016-09-13,male,NU'EST
NCT 127 'Chain' Dance Practice,pGB6oUsvH3U,2018-05-25,male,NCT 127
NCT 127 DANCE PRACTICE VIDEO #BOMB ver.,bTu86Ll8eqk,2017-06-23,male,NCT 127
NCT 127 엔시티 127 '소방차 (Fire Truck)' Dance Practice,ssBGdX5-h94,2016-07-25,male,NCT 127
TVXQ! 동방신기 'Catch Me' Dance Practice,JzSgMwrSfOk,2012-09-28,male,TVXQ!
NCT U 엔시티 유 'BOSS' Dance Practice,-7tSTUR7FG0,2018-02-27,male,NCT U
NCT U 엔시티 유 'Baby Don't Stop' Dance Practice,DR2CtV_khJo,2018-03-16,male,NCT U
"GOT7 ""Lullaby"" Dance Practice (Suit Ver.)",tgA9zvfVJtg,2018-09-18,male,GOT7
[Dance Practice] 몬스타엑스 (MONSTA X) - 'SHOOT OUT' EYE CONTACT ver.,3oLG_rx1-lw,2018-11-04,male,MONSTA X
"Stray Kids ""I am YOU"" Dance Practice (Close up Ver.)",zDtAYqhwogQ,2018-11-07,male,Stray Kids
[Dance Practice] 하이라이트(Highlight) - 사랑했나봐(Loved) 안무 연습 영상,EqgmF4NUrqI,2018-11-27,male,Highlight
NCT 127 엔시티 127 'Simon Says' Dance Practice,XglD05891C4,2018-12-06,male,NCT 127
NCT DREAM '마지막 첫사랑 (My First and Last)’ DREAM SHOW Ver. Dance Practice,Cg8k2Jtfw6M,2018-12-15,male,NCT DREAM
레오(LEO) - 'Touch & Sketch' Dance Practice Video,PYm4Cp4v_As,2018-08-04,male,Leo
"골든차일드(Golden Child) ""Genie"" Dance Practice (Animal Character Ver.)",iGaET3k8P8w,2018-12-27,male,Golden Child
ASTRO 아스트로 - All Night(전화해) SPECIAL DANCE PRACTICE,tRyFeewBDlg,2019-02-07,male,ASTRO
TAEMIN 태민 'WANT' Dance Practice,YQsUhMaNqD4,2019-02-18,male,Taemin
ATEEZ(에이티즈) - 'Say My Name' Dance Practice,hWpeQJc35Rk,2019-01-25,male,ATEEZ
ATEEZ(에이티즈) - '해적왕(Pirate King)' Dance Practice,y2WltvTzQc0,2018-10-30,male,ATEEZ
TXT (투모로우바이투게더) ‘어느날 머리에서 뿔이 자랐다 (CROWN)’ Dance Practice,6HMsGJRLtto,2019-03-10,male,TXT
"Stray Kids ""MIROH"" Dance Practice Video",MQXLTw2Awhk,2019-03-29,male,Stray Kids
JBJ95 - 'AWAKE' Dance Practice,l_UVitW9jdc,2019-03-31,male,KENTA・SANGGYUN
블락비 바스타즈(Block B BASTARZ) - 'Help Me' Dance Practice,8LFTdJgms4Q,2019-03-31,male,Block B - Bastarz
VAV -  'THRILLA KILLA' Dance Practice for VAMPZ,luGHhmtZYzI,2019-04-02,male,VAV
박지훈(PARK JIHOON) - 'L.O.V.E' Dance Practice,UlmbwUMnjdE,2019-04-01,male,Park Jihoon
"Stray Kids ""MIROH"" Dance Practice Video (Heart ver.)",r4oJJCFxi5Y,2019-04-07,male,Stray Kids
NCT 127 'Wakey-Wakey' Dance Practice,LYcRXodIJiw,2019-04-16,male,NCT 127
[CHOREOGRAPHY] BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv)' Dance Practice,CzvfbRbEjww,2019-04-21,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) '피 땀 눈물 (Blood Sweat & Tears)' Dance Practice,v8z1TtlY1no,2016-10-18,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) '봄날 (Spring Day)' Dance Practice,_AlODdAInRY,2017-03-03,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'Not Today' Dance Practice,_PwYjNh1bww,2017-06-06,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'DNA' Dance Practice,GEIU_7v40Dw,2017-09-24,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'FAKE LOVE' Dance Practice,nQySbNGu4g0,2018-05-27,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'IDOL' Dance Practice,bhWXw56puNY,2018-09-02,male,BTS
[BANGTAN BOMB] '고민보다 GO (GOGO)' Dance Practice (Halloween ver.) - BTS (방탄소년단),Fl54gG0B8I0,2017-09-18,male,BTS
[BANGTAN BOMB] '21세기 소녀 (21st Century Girl)' Dance Practice (Halloween ver.) - BTS (방탄소년단),6tUumjx2BWw,2016-10-28,male,BTS
[BANGTAN BOMB] '뱁새' Dance Practice (흥 ver.) - BTS (방탄소년단),V1i_x2_TGE0,2016-06-01,male,BTS
방탄소년단 팔도강산(Paldogangsan) Dance practice,Vi6-zq3YuEg,2013-09-11,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) '좋아요 Part 2' Dance Practice,u2XBh23upio,2017-06-07,male,BTS
[CHOREOGRAPHY] BTS (방탄소년단) 'Beautiful' dance practice,sm4FFFBgbmg,2014-06-05,male,BTS
"Stray Kids ""승전가(Victory Song)"" Dance Practice Video",ccUd38yVgMs,2019-04-26,male,Stray Kids
TXT (투모로우바이투게더) ‘Cat & Dog’ Dance Practice,JKp80jCzho0,2019-04-28,male,TXT
THE BOYZ(더보이즈) 'Bloom Bloom' DANCE PRACTICE VIDEO,Nq11uIywxDQ,2019-05-02,male,The Boyz
THE BOYZ(더보이즈) 'Bloom Bloom' DANCE PRACTICE VIDEO (Hero Costume ver.),c4ecxTP0Tnc,2019-05-05,male,The Boyz
[CHOREOGRAPHY] BTS (방탄소년단) 'Dionysus' Dance Practice,QmgcyLozkbQ,2019-05-05,male,BTS
TXT (투모로우바이투게더) ‘Cat & Dog’ Dance Practice (Animal ver.),xlTGcoynI0k,2019-05-06,male,TXT
